Key,Source,Context,UsedInMainMenu,NoTranslate,english
doughs_UselessItem_CeramicMug_007,,items,Quest - Note,--,"Ceramic coffee mug"
doughs_UselessItem_CeramicMug_007Desc,,items,Quest - Note,--,"Keep Calm and Caffeine On!"
doughs_UselessItem_CeramicMug_008,,items,Quest - Note,--,"Ceramic coffee mug"
doughs_UselessItem_CeramicMug_008Desc,,items,Quest - Note,--,"(This mug has a picture of a very awake kitten on it)\nHa. haaaaa ...."
doughs_UselessItem_CeramicMug_009,,items,Quest - Note,--,"Ceramic coffee mug"
doughs_UselessItem_CeramicMug_009Desc,,items,Quest - Note,--,"7 Days to Life!"
doughs_UselessItem_CeramicMug_010,,items,Quest - Note,--,"Ceramic coffee mug"
doughs_UselessItem_CeramicMug_010Desc,,items,Quest - Note,--,"(This mug has a skull wearing a pirate hat on it)\nI guess you could say this is made out of .... cer-arrrr-amic"
doughs_UselessItem_Cottonball,,items,Quest - Note,--,"Cotton ball"
doughs_UselessItem_CottonballDesc,,items,Quest - Note,--,"A cotton ball"
doughs_UselessItem_WiperFluid,,items,Quest - Note,--,"Wiper Fluid"
doughs_UselessItem_WiperFluidDesc,,items,Quest - Note,--,"Shamway(TM) brand wiper fluid.\nIt still has the price sticker on it: $8.99"
doughs_UselessItem_PaintStripper,,items,Quest - Note,--,"Paint Stripper"
doughs_UselessItem_PaintStripperDesc,,items,Quest - Note,--,"Panty Stripper?  Oh ... no ... it's paint stripper.\nYou might need to schedule an eye appointment for some nice reading glasses."
doughs_UselessItem_Lubricant,,items,Quest - Note,--,"Lubricant"
doughs_UselessItem_LubricantDesc,,items,Quest - Note,--,"A big jug of Blueberry Flavored lubricant.  Damn kids these days and their designer lubricants!"
doughs_UselessItem_NippleWeights,,items,Quest - Note,--,"Heavy Nipple Weights"
doughs_UselessItem_NippleWeightsDesc,,items,Quest - Note,--,"Nicely made weights that are supposed to hang from nipples apparently.  I guess for people who ... want to extend their nipples?"
doughs_UselessItem_FilmReel,,items,Quest - Note,--,"Old Film Reel"
doughs_UselessItem_FilmReelDesc,,items,Quest - Note,--,"An old reel of film."
doughs_UselessItem_CraftWire,,items,Quest - Note,--,"Craft wire"
doughs_UselessItem_CraftWireDesc,,items,Quest - Note,--,"A small roll of crafting wire."
doughs_UselessItem_VinylTwine,,items,Quest - Note,--,"Vinyl Twine"
doughs_UselessItem_VinylTwineDesc,,items,Quest - Note,--,"A short length of very thin vinyl twine"
doughs_Parcel_Base,,items,Admin,newKey,"Doughs Base Parcel"
doughs_Parcel_BaseDesc,,items,Admin,newKey,"A small, plain, cardboard box"
doughs_Parcel_Grandma_001,,items,Admin,newKey,"A small box"
doughs_Parcel_Grandma_001Desc,,items,Admin,newKey,"This box is wrapped in a festive red paper"
doughs_ParcelNote_Grandma_001,,items,Admin,newKey,"Birthday Card"
doughs_ParcelNote_Grandma_001Desc,,items,Admin,newKey,"Roses are Red\nViolets are Blue\nI hope you like this gift\nI picked out, for YOU!\nKeep doing your art sweetie!\nLove, Grandma Roxy - XOXOXO"
doughs_Parcel_Grandma_002,,items,Admin,newKey,"A small heavy box"
doughs_Parcel_Grandma_002Desc,,items,Admin,newKey,"A box wrapped in a festive yellow paper"
doughs_ParcelNote_Grandma_002,,items,Admin,newKey,"Birthday Card"
doughs_ParcelNote_Grandma_002Desc,,items,Admin,newKey,"Mary,\nI hope you like this!  When I saw it I just thought 'This is You!'. Maybe this weekend we can put it to good use!\nKait"
doughs_Parcel_Grandma_003,,items,Admin,newKey,"A small box"
doughs_Parcel_Grandma_003Desc,,items,Admin,newKey,"A plain box"
doughs_ParcelNote_Grandma_003,,items,Admin,newKey,"Birthday Card"
doughs_ParcelNote_Grandma_003Desc,,items,Admin,newKey,"Tina - I know you wanted to finish you house, and I found this at the store.\nGrandpa is doing fine but I've had the runs for the past two days.\nTell your mom she needs to come see us sometime!\nGamma"
doughs_Parcel_Grandma_004,,items,Admin,newKey,"A heavy box"
doughs_Parcel_Grandma_004Desc,,items,Admin,newKey,"A box wrapped in purple paper"
doughs_ParcelNote_Grandma_004,,items,Admin,newKey,"Happy Birthday Card"
doughs_ParcelNote_Grandma_004Desc,,items,Admin,newKey,"Carmen,\nYou are so gown up now! I could't believe that yesterday you were just barely higher than my knee!\nYour Grandpaw and I got you this because we know how much you like to practice with the targets\nYou Be safe! Love, \nMemaw and PawPaw"
doughs_Parcel_Grandma_005,,items,Admin,newKey,"A box"
doughs_Parcel_Grandma_005Desc,,items,Admin,newKey,"A small heavy box"
doughs_ParcelNote_Grandma_005,,items,Admin,newKey,"You're 8 Today!"
doughs_ParcelNote_Grandma_005Desc,,items,Admin,newKey,"Joey,\nI hope you have the most beautiful birthday ever you beautiful boy!\nDon't shoot your eye out!\nLove,\nGramma Maxine"
doughs_Parcel_Grandpa_001,,items,Admin,newKey,"A small box"
doughs_Parcel_Grandpa_001Desc,,items,Admin,newKey,"A box wrapped in purple paper"
doughs_ParcelNote_Grandpa_001,,items,Admin,newKey,"You're 5 Today!"
doughs_ParcelNote_Grandpa_001Desc,,items,Admin,newKey,"Dear Billy.\nI saw this and thought of you.\nHappy Birthday.\nLove, Your Grandpa Joe"
doughs_Parcel_Grandpa_002,,items,Admin,newKey,"A small box"
doughs_Parcel_Grandpa_002Desc,,items,Admin,newKey,"A box covered in pink paper"
doughs_ParcelNote_Grandpa_002,,items,Admin,newKey,"Happy Birthday Card"
doughs_ParcelNote_Grandpa_002Desc,,items,Admin,newKey,"Mira. Remember These?\nWe had so much fun playing with them when you were 3.\nI'm so proud that you're all grown up now!\nHappy 27 and more to come!\nLove, Grandpops"
doughs_Parcel_Grandpa_003,,items,Admin,newKey,"A small box"
doughs_Parcel_Grandpa_003Desc,,items,Admin,newKey,"This box is wrapped in a festive red paper"
doughs_ParcelNote_Grandpa_003,,items,Admin,newKey,"Happy 30th Birthday"
doughs_ParcelNote_Grandpa_003Desc,,items,Admin,newKey,"Chang.\nI got this gift for you since you seemed so enamored with it at the gun show.\nI had it engraved, then I dropped it into a blender. Maybe you can fix it?\nIts the thought that counts you know! - Dad"
doughs_Parcel_Grandpa_004,,items,Admin,newKey,"Small heavy box"
doughs_Parcel_Grandpa_004Desc,,items,Admin,newKey,"A box wrapped in a festive yellow paper"
doughs_ParcelNote_Grandpa_004,,items,Admin,newKey,"You're 7 Today!"
doughs_ParcelNote_Grandpa_004Desc,,items,Admin,newKey,"Kelly, I hope you enjoy this!\nMaybe you can take down another squirrel like last summer at the lake\nHave fun today!\nLove, Aunt Rayah"
doughs_Parcel_Grandpa_005,,items,Admin,newKey,"A box"
doughs_Parcel_Grandpa_005Desc,,items,Admin,newKey,"A small heavy box"
doughs_ParcelNote_Grandpa_005,,items,Admin,newKey,"You're 8 Today!"
doughs_ParcelNote_Grandpa_005Desc,,items,Admin,newKey,"Samantha,\nI hope you have a great birthday!\nDon't shoot your eye out (or your brother's).\nLove,\nGramma Maxine"
doughs_Parcel_Birthday_001,,items,Admin,newKey,"AllAlone.com - Order everything you need from the comfort of your own home!"
doughs_Parcel_Birthday_001Desc,,items,Admin,newKey,"Small light box"
doughs_ParcelNote_Birthday_001,,items,Admin,newKey,"Happy Birthday"
doughs_ParcelNote_Birthday_001Desc,,items,Admin,newKey,"Happy Birthday Customer34583! We hope you ENJOY your order as much as we ENJOY shipping it to you!nHugs,\nThe AllAlone.com Team."
doughs_Parcel_Birthday_002,,items,Admin,newKey,"Small heavy box"
doughs_Parcel_Birthday_002Desc,,items,Admin,newKey,"A plain box that's suspiciously heavy"
doughs_ParcelNote_Birthday_002,,items,Admin,newKey,"Ha-PURRY Bi-FUR-thday!"
doughs_ParcelNote_Birthday_002Desc,,items,Admin,newKey,"It's from PimpYourPet.com and addressed to 'Fancy Rainbows Wiggles Gobblers'"
doughs_Parcel_Birthday_003,,items,Admin,newKey,"Small heavy box"
doughs_Parcel_Birthday_003Desc,,items,Admin,newKey,"A plain box that's suspiciously heavy"
doughs_ParcelNote_Birthday_003,,items,Admin,newKey,"Ha-PUPPY Birthday!"
doughs_ParcelNote_Birthday_003Desc,,items,Admin,newKey,"It's from PimpYourPet.com and addressed to 'His Masterful Flooper Ears'"
doughs_Parcel_Birthday_004,,items,Admin,newKey,"Small heavy box"
doughs_Parcel_Birthday_004Desc,,items,Admin,newKey,"A black box wrapped like it's for a really special person"
doughs_ParcelNote_Birthday_004,,items,Admin,newKey,"Happy Sexy Birthday Card"
doughs_ParcelNote_Birthday_004Desc,,items,Admin,newKey,"Can't wait to try these on for you ;)"
doughs_Parcel_Birthday_005,,items,Admin,newKey,"Small box"
doughs_Parcel_Birthday_005Desc,,items,Admin,newKey,"Small plain box"
doughs_ParcelNote_Birthday_005,,items,Admin,newKey,"Happy Birthday!"
doughs_ParcelNote_Birthday_005Desc,,items,Admin,newKey,"Happy Birthday! You keep drinkin' that coffee! Ha Ha! Maria, John, Jonah, and Bowsers the cat"
doughs_Parcel_ReturnedItem_001,,items,Admin,newKey,"Navazon Package"
doughs_Parcel_ReturnedItem_001Desc,,items,Admin,newKey,"This was to be sent back to Navazon"
doughs_Parcel_ReturnedItem_002,,items,Admin,newKey,"Navazon Package"
doughs_Parcel_ReturnedItem_002Desc,,items,Admin,newKey,"This is a previously opened Navazon package"
doughs_Parcel_ReturnedItem_003,,items,Admin,newKey,"Navazon Package"
doughs_Parcel_ReturnedItem_003Desc,,items,Admin,newKey,"Navazon with that logo of an arrow pointing just at the Z"
doughs_Parcel_ReturnedItem_004,,items,Admin,newKey,"Navazon Package"
doughs_Parcel_ReturnedItem_004Desc,,items,Admin,newKey,"Just a plain package"
doughs_Parcel_ReturnedItem_005,,items,Admin,newKey,"Navazon Package"
doughs_Parcel_ReturnedItem_005Desc,,items,Admin,newKey,"Just a plain package"
doughs_Parcel_UnopenedPackage_001,,items,Admin,newKey,"Medium Heavy box"
doughs_Parcel_UnopenedPackage_001Desc,,items,Admin,newKey,"Working Stiffs Tools. NOW You're stiff!"
doughs_Parcel_UnopenedPackage_002,,items,Admin,newKey,"Small box"
doughs_Parcel_UnopenedPackage_002Desc,,items,Admin,newKey,"Online Hardcore Cosmetix"
doughs_Parcel_UnopenedPackage_003,,items,Admin,newKey,"Medium size heavy box"
doughs_Parcel_UnopenedPackage_003Desc,,items,Admin,newKey,"Working Stiffs Office Tools. NOW that's stiff!"
doughs_Parcel_UnopenedPackage_004,,items,Admin,newKey,"Medium size heavy box"
doughs_Parcel_UnopenedPackage_004Desc,,items,Admin,newKey,"SexyHouseGifts.com. Shhh, we won't tell everyone you're horny!"
doughs_Parcel_UnopenedPackage_005,,items,Admin,newKey,"Small box"
doughs_Parcel_UnopenedPackage_005Desc,,items,Admin,newKey,"7 Days to Eye. You get your shipment in 7 days, or its 10% off!"
doughs_Parcel_UnopenedPackage_006,,items,Admin,newKey,"Medium sized box"
doughs_Parcel_UnopenedPackage_006Desc,,items,Admin,newKey,"Darkness.com. Feel the Darkness"
doughs_Parcel_UnopenedPackage_007,,items,Admin,newKey,"Medium sized box"
doughs_Parcel_UnopenedPackage_007Desc,,items,Admin,newKey,"SnitchesGetStitches.com - Don't go outside without adequate defenses!"
doughs_Parcel_UnopenedPackage_008,,items,Admin,newKey,"Medium sized box"
doughs_Parcel_UnopenedPackage_008Desc,,items,Admin,newKey,"Paper-R-Us.com"
doughs_Parcel_UnopenedPackage_009,,items,Admin,newKey,"Medium sized box"
doughs_Parcel_UnopenedPackage_009Desc,,items,Admin,newKey,"Fryed Electronics - Going out of business sale!"
doughs_Parcel_UnopenedPackage_010,,items,Admin,newKey,"Heavy Medium sized box"
doughs_Parcel_UnopenedPackage_010Desc,,items,Admin,newKey,"Crack-A-Book.com\nIt's A-Book time you read a Book!"
doughs_Page_Game_Soduku_001,,items,Admin,newKey,"Soduku Challenge #001"
doughs_Page_Game_Soduku_001Desc,,items,Admin,newKey,"Difficulty: Easy\n8 _ 2 | _ 3 _ | _ 7 4\n_ _ _ | 6 4 _ | 3 2 _\n_ _ _ | 7 _ _ | 8 _ 1\n________________\n_ 7 _ | 1 9 _ | _ _ _\n4 _ 9 | 8 _ 7 | 2 _ 6\n_ _ _ | _ 6 2 | _ 9 _\n________________\n9 _ 1 | _ _ 3 | _ _ _\n_ 8 3 | _ 7 6 | _ _ _\n6 2 _ | _ 1 _ | 9 _ 3"
doughs_Page_Game_Soduku_002,,items,Admin,newKey,"Soduku Challenge #002"
doughs_Page_Game_Soduku_002Desc,,items,Admin,newKey,"Difficulty: Easy\n_ 1 _ | 4 _ 2 | 6 _ _\n5 2 _ | _ 6 _ | _ 1 _\n_ _ 3 | 5 7 _ | _ _ 2\n________________\n_ _ 1 | _ _ _ | 7 _ 3\n_ _ _ | 7 1 6 | _ _ _\n8 _ 6 | _ _ _ | 5 _ _\n________________\n6 _ _ | _ 4 5 | 9 _ _\n_ 8 _ | _ 3 _ | _ 5 4\n_ _ 4 | 9 _ 8 | _ 7 _"
doughs_Page_Game_Soduku_003,,items,Admin,newKey,"Soduku Challenge #003"
doughs_Page_Game_Soduku_003Desc,,items,Admin,newKey,"Difficulty: Easy\n6 _ 7 | _ _ 5 | 4 _ 8\n_ 1 _ | _ _ _ | _ _ 3\n_ 4 _ | 1 7 _ | 9 6 _\n________________\n_ _ _ | _ _ _ | 8 2 _\n_ 7 1 | 2 9 8 | 5 4 _\n_ 5 8 | _ _ _ | _ _ _\n________________\n_ 9 3 | _ 8 4 | _ 7 _\n7 _ _ | _ _ _ | _ 8 _\n1 _ 4 | 7 _ _ | 6 _ 5"
doughs_Page_Game_Soduku_004,,items,Admin,newKey,"Soduku Challenge #026"
doughs_Page_Game_Soduku_004Desc,,items,Admin,newKey,"Difficulty: Medium\n_ _ 7 | _ 8 _ | 2 _ 3\n_ 9 4 | _ _ _ | _ _ _\n_ _ _ | _ _ _ | _ 5 _\n________________\n_ 1 _ | 4 _ _ | _ 8 9\n6 4 _ | 9 _ 5 | _ 3 2\n9 7 _ | _ _ 2 | _ 1 _\n________________\n_ 6 _ | _ _ _ | _ _ _\n_ _ _ | _ _ _ | 3 6 _\n3 _ 5 | _ 9 _ | 4 _ _"
doughs_Page_Game_Soduku_005,,items,Admin,newKey,"Soduku Challenge #027"
doughs_Page_Game_Soduku_005Desc,,items,Admin,newKey,"Difficulty: Medium\n_ _ _ | _ _ _ | 8 _ 3\n_ 3 _ | _ 9 7 | _ _ 4\n_ _ 1 | _ 5 _ | _ 7 _\n________________\n9 5 4 | _ _ _ | 7 8 2\n_ _ _ | _ 4 _ | _ _ _\n3 6 7 | _ _ _ | 1 4 9\n________________\n_ 1 _ | _ 2 _ | 5 _ _\n8 _ _ | 3 6 _ | _ 9 _\n4 _ 6 | _ _ _ | _ _ _"
doughs_Page_Game_Soduku_006,,items,Admin,newKey,"Soduku Challenge #051"
doughs_Page_Game_Soduku_006Desc,,items,Admin,newKey,"Difficulty: Hard\n4 _ 2 | _ _ 9 | _ 3 6\n_ _ 8 | _ _ _ | _ _ _\n5 6 _ | 8 _ 4 | _ _ _\n________________\n_ 1 _ | _ _ 7 | 9 _ _\n2 _ _ | _ _ _ | _ _ 3\n_ _ 7 | 2 _ _ | _ 8 _\n________________\n_ _ _ | 1 _ 8 | _ 6 2\n_ _ _ | _ _ _ | 4 _ _\n7 3 _ | 4 _ _ | 5 _ 8"
doughs_Page_Game_Soduku_007,,items,Admin,newKey,"Soduku Challenge #052"
doughs_Page_Game_Soduku_007Desc,,items,Admin,newKey,"Difficulty: Hard\n5 _ 4 | 8 2 _ | _ _ _\n6 _ _ | _ 9 _ | _ 3 _\n_ 9 _ | _ _ _ | _ _ _\n________________\n_ _ 3 | _ _ 9 | _ _ 4\n_ _ 6 | 3 7 4 | 5 _ _\n2 _ _ | 1 _ _ | 8 _ _\n________________\n_ _ _ | _ _ _ | _ 4 _\n_ 8 _ | _ 3 _ | _ _ 6\n_ _ _ | _ 5 8 | 7 _ 1"
doughs_Page_Game_Soduku_008,,items,Admin,newKey,"Soduku Challenge #075"
doughs_Page_Game_Soduku_008Desc,,items,Admin,newKey,"Difficulty: Genius\n8 _ _ | _ _ _ | 9 _ _\n6 _ _ | _ 3 4 | 7 _ _\n_ _ _ | 8 _ _ | _ 1 _\n________________\n_ 3 _ | 5 _ _ | _ 9 1\n_ _ 8 | _ _ _ | 2 _ _\n5 4 _ | _ _ 3 | _ 7 _\n________________\n_ 7 _ | _ _ 5 | _ _ _\n_ _ 3 | 6 2 _ | _ _ 4\n_ _ 5 | _ _ _ | _ _ 7"
doughs_Page_Game_Soduku_009,,items,Admin,newKey,"Soduku Challenge #076"
doughs_Page_Game_Soduku_009Desc,,items,Admin,newKey,"Difficulty: Genius\n8 _ 1 | 2 6 _ | _ _ _\n7 _ _ | _ _ _ | 1 _ _\n2 _ _ | 8 _ _ | _ 4 _\n________________\n4 _ _ | 3 _ _ | 9 _ _\n_ _ _ | 1 _ 9 | _ _ _\n_ _ 2 | _ _ 5 | _ _ 7\n________________\n_ 8 _ | _ _ 2 | _ _ 1\n_ _ 7 | _ _ _ | _ _ 4\n_ _ _ | _ 9 1 | 7 _ 8"
doughs_Page_Game_Soduku_010,,items,Admin,newKey,"Soduku Challenge #028"
doughs_Page_Game_Soduku_010Desc,,items,Admin,newKey,"Difficulty: Medium\n_ _ _ | _ _ _ | 2 7 _\n_ _ _ | _ 8 _ | _ _ _\n6 9 _ | _ 7 2 | _ 5 1\n________________\n2 _ 4 | _ 3 _ | _ 1 _\n1 5 _ | _ 4 _ | _ 2 9\n_ 7 _ | _ 5 _ | 4 _ 3\n________________\n4 3 _ | 6 2 _ | _ 9 5\n_ _ _ | _ 1 _ | _ _ _\n_ 1 6 | _ _ _ | _ _ _"
doughs_Page_Game_Soduku_011,,items,Admin,newKey,"Soduku Challenge #029"
doughs_Page_Game_Soduku_011Desc,,items,Admin,newKey,"Difficulty: Medium\n_ 3 _ | 5 _ 7 | 1 _ _\n_ 4 7 | _ 3 _ | _ _ _\n_ _ 5 | _ _ _ | 9 7 _\n________________\n_ 2 8 | 9 _ _ | _ _ _\n_ 7 _ | 2 _ 5 | _ 9 _\n_ _ _ | _ _ 4 | 8 5 _\n________________\n_ 1 2 | _ _ _ | 4 _ _\n_ _ _ | _ 1 _ | 5 3 _\n_ _ 3 | 6 _ 8 | _ 1 _"
doughs_Book_Game_Soduku_001,,items,Admin,newKey,"Book of Soduku Madness - Easy"
doughs_Book_Game_Soduku_001Desc,,items,Admin,newKey,"A Collection of easy Soduku challenges"
doughs_Book_Game_Soduku_002,,items,Admin,newKey,"Book of Soduku Madness - Medium"
doughs_Book_Game_Soduku_002Desc,,items,Admin,newKey,"A Collection of medium Soduku challenges"
doughs_Book_Game_Soduku_003,,items,Admin,newKey,"Book of Soduku Madness - Hard"
doughs_Book_Game_Soduku_003Desc,,items,Admin,newKey,"A Collection of hard Soduku challenges"
doughs_Book_Game_Soduku_004,,items,Admin,newKey,"Book of Soduku Madness - Super Genius"
doughs_Book_Game_Soduku_004Desc,,items,Admin,newKey,"A Collection of very hard Soduku challenges"
doughs_Book_Game_Soduku_005,,items,Admin,newKey,"Book of Soduku Madness - Medium"
doughs_Book_Game_Soduku_006Desc,,items,Admin,newKey,"A Collection of medium Soduku challenges"
doughs_Parcel_Game_Soduku_001,,items,Admin,newKey,"A small gift box"
doughs_Parcel_Game_Soduku_001Desc,,items,Admin,newKey,"A nicely wrapped gift box, as if the person wrapping it had mad skills. Or was crying out for help."
doughs_cntGameBoardSoduku,,blocks,Block,newKey,"Soduku Madness Board"
doughs_cntGameBoardSodukuDesc,,blocks,Block,newKey,"A really nice glass, lockable Soduku board.\nFind Soduku puzzle pages and craft colored number Game Blocks to play.\nWhy not pass the time playing relaxing games after a hard day of looting former homes of the dead?"
doughs_ParcelNote_Game_Soduku,,items,Admin,newKey,"Soduku Madness hobby craft kit"
doughs_ParcelNote_Game_SodukuDesc,,items,Admin,newKey,"Hello fellow Soduku-er!\nThis handmade Soduku board comes with instructions on how to craft your own custom Soduku game blocks!\nEnjoy a timeless heirloom with your family as well as hone your inner craftsman!\nAlso included with your set are a few sample games. Have FUN!"
doughs_Game_Soduku_Pieces_Schematic,,items,Admin,newKey,"How to craft Soduku Game Blocks"
doughs_Game_Soduku_Pieces_SchematicDesc,,items,Admin,newKey,"Craft Game Blocks using the forge.\bThese are very nice colorful blocks specifically made for Soduku. They are made out of very sturdy material."
doughs_GameBlock_0,,blocks,Variant,newKey,"Soduku 0"
doughs_GameBlock_0Desc,,blocks,Variant,newKey,"A block for playing games on Soduku boards. Put it inside the board, not on a wall!"
doughs_GameBlock_1,,blocks,Variant,newKey,"Soduku 1"
doughs_GameBlock_1Desc,,blocks,Variant,newKey,"A block for playing games on Soduku boards. Put it inside the board, not on a wall!"
doughs_GameBlock_2,,blocks,Variant,newKey,"Soduku 2"
doughs_GameBlock_2Desc,,blocks,Variant,newKey,"A block for playing games on Soduku boards. Put it inside the board, not on a wall!"
doughs_GameBlock_3,,blocks,Variant,newKey,"Soduku 3"
doughs_GameBlock_3Desc,,blocks,Variant,newKey,"A block for playing games on Soduku boards. Put it inside the board, not on a wall!"
doughs_GameBlock_4,,blocks,Variant,newKey,"Soduku 4"
doughs_GameBlock_4Desc,,blocks,Variant,newKey,"A block for playing games on Soduku boards. Put it inside the board, not on a wall!"
doughs_GameBlock_5,,blocks,Variant,newKey,"Soduku 5"
doughs_GameBlock_5Desc,,blocks,Variant,newKey,"A block for playing games on Soduku boards. Put it inside the board, not on a wall!"
doughs_GameBlock_6,,blocks,Variant,newKey,"Soduku 6"
doughs_GameBlock_6Desc,,blocks,Variant,newKey,"A block for playing games on Soduku boards. Put it inside the board, not on a wall!"
doughs_GameBlock_7,,blocks,Variant,newKey,"Soduku 7"
doughs_GameBlock_7Desc,,blocks,Variant,newKey,"A block for playing games on Soduku boards. Put it inside the board, not on a wall!"
doughs_GameBlock_8,,blocks,Variant,newKey,"Soduku 8"
doughs_GameBlock_8Desc,,blocks,Variant,newKey,"A block for playing games on Soduku boards. Put it inside the board, not on a wall!"
doughs_GameBlock_9,,blocks,Variant,newKey,"Soduku 9"
doughs_GameBlock_9Desc,,blocks,Variant,newKey,"A block for playing games on Soduku boards. Put it inside the board, not on a wall!"
doughs_ParcelNote_Game_TicTacToe,,items,Admin,newKey,"How to play Tic-Tac-Toe"
doughs_ParcelNote_Game_TicTacToeDesc,,items,Admin,newKey,"First: Craft standard metal X and O blocks to play\nSecond:IT'S TIC-TAC-TOE!\nTIME TO KICK IT HARDCORE!\nA game so simple even a zed could play it"
doughs_Parcel_Game_TicTacToe_001,,items,Admin,newKey,"A small gift box"
doughs_Parcel_Game_TicTacToe_001Desc,,items,Admin,newKey,"A nicely wrapped gift box, as if the person wrapping it had mad skills. Or was crying out for help."
doughs_cntGameBoardTicTacToe,,blocks,Block,newKey,"TIC-TAC-TOE Board"
doughs_cntGameBoardTicTacToeDesc,,blocks,Block,newKey,"A simple board game crafted of the highest quality shatter resistant glass materials.\nThis is something you would get in the mail for Christmas from an Aunt you never see and you never open the box.\nMight be fun though after rummaging through the ashes of humanity all day"
doughs_ParcelNote_Game_Checkers,,items,Admin,newKey,"How to play Checkers"
doughs_ParcelNote_Game_CheckersDesc,,items,Admin,newKey,"First: Find the schematic to craft the pieces.\nSecond:To maintain fairness to both players, start the game with the Red pieces on the left side, Black pieces on the right.\nThe player with the LEAST zombie kills goes first.\nBEWARE OF CHEATERS!"
doughs_CheckersBlock_1,,items,Admin,newKey,"Red Checker Piece"
doughs_CheckersBlock_1Desc,,items,Admin,newKey,"Checkers piece for playing games on Checkers boards"
doughs_CheckersBlock_2,,items,Admin,newKey,"Black Checker Piece"
doughs_CheckersBlock_2Desc,,items,Admin,newKey,"Checkers piece for playing games on Checkers boards"
doughs_cntGameBoardChessAndCheckers,,blocks,Block,newKey,"Chess and Checkers Board"
doughs_cntGameBoardChessAndCheckersDesc,,items,Admin,newKey,"A handsome lockable board crafted from extremely fragile glass, smoke, and mirrors\nSomething very difficult to craft so its good you found this one as nobody wants to play a game unshowered and covered in the grime of the dead on a crappy board."
doughs_Parcel_Game_Checkers_001,,items,Admin,newKey,"A small gift box"
doughs_Parcel_Game_Checkers_001Desc,,items,Admin,newKey,"A nicely wrapped gift box, as if the person wrapping it had mad skills. Or was crying out for help."
doughs_ChessPiece_Pawn_Red,,blocks,Variant,newKey,"Red Pawn"
doughs_ChessPiece_Pawn_RedDesc,,blocks,Variant,newKey,"Chess piece for playing games on Chess boards"
doughs_ChessPiece_Knight_Red,,blocks,Variant,newKey,"Red Knight"
doughs_ChessPiece_Knight_RedDesc,,blocks,Variant,newKey,"Chess piece for playing games on Chess boards"
doughs_ChessPiece_Bishop_Red,,blocks,Variant,newKey,"Red Bishop"
doughs_ChessPiece_Bishop_RedDesc,,blocks,Variant,newKey,"Chess piece for playing games on Chess boards"
doughs_ChessPiece_Rook_Red,,blocks,Variant,newKey,"Red Rook"
doughs_ChessPiece_Rook_RedDesc,,blocks,Variant,newKey,"Chess piece for playing games on Chess boards"
doughs_ChessPiece_King_Red_001,,blocks,Variant,newKey,"Red King"
doughs_ChessPiece_King_Red_002,,blocks,Variant,newKey,"Red King"
doughs_ChessPiece_King_Red_003,,blocks,Variant,newKey,"Red King"
doughs_ChessPiece_King_Red_004,,blocks,Variant,newKey,"Red King"
doughs_ChessPiece_King_Red_005,,blocks,Variant,newKey,"Red King"
doughs_ChessPiece_King_RedDesc,,blocks,Variant,newKey,"Chess piece for playing games on Chess boards"
doughs_ChessPiece_Queen_Red,,blocks,Variant,newKey,"Red Queen"
doughs_ChessPiece_Queen_RedDesc,,blocks,Variant,newKey,"Chess piece for playing games on Chess boards"
doughs_ChessPiece_Pawn_Blue,,blocks,Variant,newKey,"Blue Pawn"
doughs_ChessPiece_Pawn_BlueDesc,,blocks,Variant,newKey,"Chess piece for playing games on Chess boards"
doughs_ChessPiece_Knight_Blue,,blocks,Variant,newKey,"Blue Knight"
doughs_ChessPiece_Knight_BlueDesc,,blocks,Variant,newKey,"Chess piece for playing games on Chess boards"
doughs_ChessPiece_Bishop_Blue,,blocks,Variant,newKey,"Blue Bishop"
doughs_ChessPiece_Bishop_BlueDesc,,blocks,Variant,newKey,"Chess piece for playing games on Chess boards"
doughs_ChessPiece_Rook_Blue,,blocks,Variant,newKey,"Blue Rook"
doughs_ChessPiece_Rook_BlueDesc,,blocks,Variant,newKey,"Chess piece for playing games on Chess boards"
doughs_ChessPiece_King_Blue_001,,blocks,Variant,newKey,"Blue King"
doughs_ChessPiece_King_Blue_002,,blocks,Variant,newKey,"Blue King"
doughs_ChessPiece_King_Blue_003,,blocks,Variant,newKey,"Blue King"
doughs_ChessPiece_King_Blue_004,,blocks,Variant,newKey,"Blue King"
doughs_ChessPiece_King_Blue_005,,blocks,Variant,newKey,"Blue King"
doughs_ChessPiece_King_BlueDesc,,blocks,Variant,newKey,"Chess piece for playing games on Chess boards. Put it inside the board, not on a wall!"
doughs_ChessPiece_Queen_Blue,,blocks,Variant,newKey,"Blue Queen"
doughs_ChessPiece_Queen_BlueDesc,,blocks,Variant,newKey,"Chess piece for playing games on Chess boards. Put it inside the board, not on a wall!"
doughs_ParcelNote_Game_Chess,,items,Admin,newKey,"How to play Chess"
doughs_ParcelNote_Game_ChessDesc,,items,Admin,newKey,"First: Loot all the chess pieces.\nSecond:To maintain fairness to both players, start the game with the Red pieces on the left side, Blue pieces on the right.\nThe player with the LEAST zombie kills goes first.\nBEWARE OF CHEATERS!"
doughs_Parcel_Game_Chess_001,,items,Admin,newKey,"A small gift box"
doughs_Parcel_Game_Chess_001Desc,,items,Admin,newKey,"A nicely wrapped gift box, as if the person wrapping it had mad skills. Or was crying out for help."
